slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totalsslug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
bendedr01,Dragan Bender,POWER FORWARD,22,GOLDEN STATE WARRIORS,9,195,12.1,0.534,0.479,0.155,8.6,21.3,14.7,15.2,1.0,1.8,17.4,20.1,0.0,0.1,0.1,0.027,-2.4,-1.2,-3.7,-0.1,Falsebendedr01,Dragan Bender,POWER FORWARD,22,GOLDEN STATE WARRIORS,9,3,195,31,71,11,34,8,11,16,37,19,4,4,16,26,81
bertada01,Dāvis Bertāns,POWER FORWARD,27,WASHINGTON WIZARDS,54,1583,15.5,0.628,0.774,0.2,2.3,15.1,8.5,8.4,1.1,1.8,8.2,19.0,3.0,0.5,3.5,0.107,2.7,-1.8,0.9,1.1,Falsebertada01,Dāvis Bertāns,POWER FORWARD,27,WASHINGTON WIZARDS,54,4,1583,265,610,200,472,104,122,35,210,92,37,33,59,139,834
beverpa01,Patrick Beverley,POINT GUARD,31,LOS ANGELES CLIPPERS,51,1342,12.5,0.56,0.604,0.138,4.5,15.8,10.3,18.2,1.9,1.6,15.4,13.3,1.6,2.0,3.6,0.128,-0.3,2.5,2.2,1.4,Falsebeverpa01,Patrick Beverley,POINT GUARD,31,LOS ANGELES CLIPPERS,51,50,1342,147,341,80,206,31,47,57,209,183,54,25,66,156,405
birchkh01,Khem Birch,CENTER,27,ORLANDO MAGIC,48,922,11.7,0.566,0.007,0.706,10.3,15.6,12.9,7.3,1.1,2.3,14.2,10.2,1.2,0.9,2.2,0.112,-2.5,0.2,-2.4,-0.1,Falsebirchkh01,Khem Birch,CENTER,27,ORLANDO MAGIC,48,24,922,73,143,0,1,66,101,91,129,50,20,23,31,91,212
bitadgo01,Goga Bitadze,CENTER,20,INDIANA PACERS,54,471,12.1,0.523,0.28,0.22,5.9,18.7,12.3,6.7,1.0,6.9,14.5,17.9,-0.1,0.8,0.7,0.067,-4.1,1.8,-2.3,0.0,Falsebitadgo01,Goga Bitadze,CENTER,20,INDIANA PACERS,54,2,471,70,150,8,42,24,33,25,81,23,10,37,28,65,172
biyombi01,Bismack Biyombo,CENTER,27,CHARLOTTE HORNETS,53,1029,16.1,0.57,0.0,0.543,12.3,20.7,16.3,7.8,0.5,4.4,12.2,16.8,1.5,0.9,2.4,0.113,-1.8,-0.7,-2.5,-0.1,Falsebiyombi01,Bismack Biyombo,CENTER,27,CHARLOTTE HORNETS,53,29,1029,151,278,0,0,91,151,120,188,50,10,49,48,116,393
bjeline01,Nemanja Bjelica,POWER FORWARD,31,SACRAMENTO KINGS,72,2011,15.7,0.602,0.49,0.129,6.1,19.9,12.8,14.7,1.5,1.9,12.5,17.0,3.4,1.9,5.3,0.127,1.2,0.5,1.7,1.9,Falsebjeline01,Nemanja Bjelica,POWER FORWARD,31,SACRAMENTO KINGS,72,67,2011,314,653,134,320,69,84,111,347,203,62,40,99,216,831
bledser01,Eric Bledsoe,POINT GUARD,30,MILWAUKEE BUCKS,61,1646,17.6,0.571,0.306,0.304,2.8,13.5,8.5,28.7,1.6,1.4,15.7,23.7,2.4,3.0,5.4,0.157,0.8,1.1,1.8,1.6,Falsebledser01,Eric Bledsoe,POINT GUARD,30,MILWAUKEE BUCKS,61,61,1646,334,703,74,215,169,214,43,239,328,57,26,148,128,911
bogdabo01,Bogdan Bogdanović,SHOOTING GUARD,27,SACRAMENTO KINGS,61,1766,15.1,0.565,0.576,0.151,1.6,11.8,6.6,18.0,1.8,0.8,11.1,22.6,1.8,1.3,3.1,0.084,1.2,-0.5,0.6,1.2,Falsebogdabo01,Bogdan Bogdanović,SHOOTING GUARD,27,SACRAMENTO KINGS,61,28,1766,337,766,164,441,86,116,26,181,207,64,15,102,133,924
bogdabo02,Bojan Bogdanović,SMALL FORWARD,30,UTAH JAZZ,63,2083,15.6,0.603,0.489,0.296,2.1,11.2,6.8,10.0,0.8,0.3,13.1,25.5,2.6,1.6,4.2,0.096,1.6,-1.5,0.1,1.1,Falsebogdabo02,Bojan Bogdanović,SMALL FORWARD,30,UTAH JAZZ,63,63,2083,418,935,189,457,250,277,39,220,131,34,7,159,110,1275
bolbo01,Bol Bol,POWER FORWARD,20,DENVER NUGGETS,7,87,14.4,0.617,0.321,0.357,6.4,18.0,12.2,9.8,1.1,6.4,23.6,21.2,0.0,0.1,0.1,0.063,-2.1,-0.7,-2.9,0.0,Falsebolbo01,Bol Bol,POWER FORWARD,20,DENVER NUGGETS,7,0,87,14,28,4,9,8,10,5,14,6,2,6,10,11,40
boldejo01,Jonah Bolden,CENTER,24,PHILADELPHIA 76ERS,4,14,-2.0,0.515,0.333,0.667,0.0,7.9,3.9,0.0,3.5,0.0,34.0,18.1,-0.1,0.0,0.0,-0.15,-13.9,-0.7,-14.5,0.0,Falseboldejo01,Jonah Bolden,CENTER,24,PHILADELPHIA 76ERS,4,0,14,2,3,0,1,0,2,0,1,0,1,0,2,4,4
boldejo01,Jonah Bolden,CENTER,24,PHOENIX SUNS,3,33,7.9,0.338,0.375,0.25,10.0,17.0,13.5,0.0,2.9,5.3,0.0,11.4,0.0,0.1,0.0,0.054,-6.5,0.2,-6.3,0.0,Falseboldejo01,Jonah Bolden,CENTER,24,PHOENIX SUNS,3,0,33,2,8,0,3,2,2,3,5,0,2,2,0,6,6
boldema01,Marques Bolden,CENTER,21,CLEVELAND CAVALIERS,1,3,19.8,0.0,0.0,0.0,0.0,74.7,37.0,0.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.282,-5.9,11.3,5.4,0.0,Falseboldema01,Marques Bolden,CENTER,21,CLEVELAND CAVALIERS,1,0,3,0,0,0,0,0,0,0,2,0,1,0,0,1,0
bonejo01,Jordan Bone,POINT GUARD,22,DETROIT PISTONS,10,53,0.8,0.3,0.5,0.0,0.0,8.7,4.3,21.0,0.9,0.0,9.1,18.1,-0.1,0.0,-0.1,-0.117,-9.1,-2.8,-11.9,-0.1,Falsebonejo01,Jordan Bone,POINT GUARD,22,DETROIT PISTONS,10,0,53,5,20,2,10,0,0,0,4,8,1,0,2,6,12
