Name,Position,Score
Jon Leuer,POWER FORWARD,345.6608
Wayne Selden,SHOOTING GUARD,342.74474999999995
Tyler Johnson,POINT GUARD,342.1403
Keita Bates-Diop,SMALL FORWARD,341.99445000000003
Damion Lee,SHOOTING GUARD,335.8339
Marquese Chriss,POWER FORWARD,334.1735
Grayson Allen,SHOOTING GUARD,332.1858
Jeremy Lin,POINT GUARD,331.1782
MarShon Brooks,SHOOTING GUARD,328.0209
Garrett Temple,SHOOTING GUARD,326.1607
Sviatoslav Mykhailiuk,SMALL FORWARD,324.73255
Nikola Mirotić,POWER FORWARD,323.7731
Donte DiVincenzo,SHOOTING GUARD,319.93534999999997
Jaron Blossomgame,SMALL FORWARD,315.2855
Dario Šarić,POWER FORWARD,310.2598
Luol Deng,SMALL FORWARD,305.8494
Quincy Pondexter,SMALL FORWARD,302.68205
Michael Beasley,POWER FORWARD,301.7066
Johnathan Williams,CENTER,301.53495
Jordan McRae,SHOOTING GUARD,299.0825
Robert Covington,SMALL FORWARD,297.0339
Wesley Johnson,SMALL FORWARD,292.41585
Sindarius Thornwell,SHOOTING GUARD,280.82925
Jerome Robinson,SHOOTING GUARD,280.56455
George Hill,POINT GUARD,278.1902
Nik Stauskas,SHOOTING GUARD,274.5772
Guerschon Yabusele,POWER FORWARD,271.6021
Corey Brewer,SMALL FORWARD,259.3281
Robert Williams,CENTER,255.53015
Alex Poythress,POWER FORWARD,253.33355
John Jenkins,SHOOTING GUARD,250.36090000000002
Iman Shumpert,SHOOTING GUARD,250.13279999999997
Troy Williams,SMALL FORWARD,246.98155000000003
Mike Muscala,POWER FORWARD,243.2089
Carmelo Anthony,POWER FORWARD,228.77565
Chris Boucher,POWER FORWARD,226.73315
Tyler Dorsey,SHOOTING GUARD,226.18239999999997
James Ennis,SMALL FORWARD,225.7455
Henry Ellenson,POWER FORWARD,224.30180000000001
Michael Carter-Williams,POINT GUARD,223.967
Patrick McCaw,SHOOTING GUARD,221.62345
Alec Burks,SHOOTING GUARD,219.13735
Shake Milton,SHOOTING GUARD,219.09915
Courtney Lee,SHOOTING GUARD,218.9235
Cameron Reynolds,SHOOTING GUARD,215.73899999999998
C.J. Miles,SMALL FORWARD,212.5272
Dillon Brooks,SMALL FORWARD,212.38995
Deonte Burton,SHOOTING GUARD,209.82350000000002
John Henson,CENTER,205.06765000000001
Dwight Howard,CENTER,204.3119
Tim Frazier,POINT GUARD,204.26115
Stanley Johnson,SMALL FORWARD,202.0348
Kyle Korver,POWER FORWARD,200.7625
Lorenzo Brown,POINT GUARD,194.534
Jonathon Simmons,SMALL FORWARD,192.93265
Christian Wood,POWER FORWARD,192.18565
Daniel Hamilton,SHOOTING GUARD,190.16775
Johnathan Motley,POWER FORWARD,189.05315000000002
Jacob Evans,SHOOTING GUARD,188.7837
Isaiah Hartenstein,POWER FORWARD,183.32809999999998
Ryan Anderson,POWER FORWARD,180.00115
Walt Lemon,POINT GUARD,177.1334
Wilson Chandler,SMALL FORWARD,176.38315
Miles Plumlee,CENTER,174.65269999999998
Theo Pinson,SHOOTING GUARD,173.8345
Khyri Thomas,SHOOTING GUARD,173.20065
J.R. Smith,SHOOTING GUARD,164.56719999999999
Julian Washburn,SMALL FORWARD,163.9151
Edmond Sumner,POINT GUARD,161.03715
Chimezie Metu,POWER FORWARD,160.19445000000002
Ben McLemore,SHOOTING GUARD,158.73205
Anfernee Simons,SHOOTING GUARD,158.18175
Jalen Jones,SMALL FORWARD,156.1074
Isaiah Thomas,SHOOTING GUARD,154.17685
Michael Carter-Williams,POINT GUARD,153.0738
Cameron Payne,POINT GUARD,148.1898
Andrew Bogut,CENTER,148.16115
Courtney Lee,SHOOTING GUARD,146.01635
Ray Spalding,POWER FORWARD,141.45080000000002
Brandon Sampson,SHOOTING GUARD,141.12335000000002
Sam Dekker,POWER FORWARD,140.2072
Miloš Teodosić,POINT GUARD,139.21285
Drew Eubanks,POWER FORWARD,133.8823
Duncan Robinson,POWER FORWARD,127.4007
Kenneth Faried,CENTER,126.99110000000002
Jason Smith,CENTER,126.89599999999999
Tyler Lydon,POWER FORWARD,124.63974999999999
Lonnie Walker,SHOOTING GUARD,122.4973
Isaac Bonga,POINT GUARD,121.85200000000003
Caleb Swanigan,POWER FORWARD,120.9236
Timothé Luwawu-Cabarrot,SMALL FORWARD,120.07915000000003
Jemerrio Jones,SMALL FORWARD,119.98489999999998
Deng Adel,SMALL FORWARD,119.68119999999999
Yuta Watanabe,SMALL FORWARD,116.85759999999999
JaKarr Sampson,SMALL FORWARD,115.18665
C.J. Williams,SHOOTING GUARD,112.77250000000001
Jodie Meeks,SHOOTING GUARD,107.53235000000001
Dairis Bertāns,SHOOTING GUARD,106.87809999999999
Gary Trent,SHOOTING GUARD,104.69385
Matthew Dellavedova,POINT GUARD,103.5541
Rawle Alkins,SHOOTING GUARD,103.26089999999999
Corey Brewer,SMALL FORWARD,101.89420000000001
Deyonta Davis,CENTER,99.7141
Malachi Richardson,SHOOTING GUARD,98.64405000000001
Bonzie Colson,SMALL FORWARD,98.4777
Skal Labissière,POWER FORWARD,97.25085
Isaiah Canaan,POINT GUARD,96.4668
Marcus Derrickson,POWER FORWARD,95.47265
Alec Burks,SHOOTING GUARD,93.38974999999999
Andrew Harrison,POINT GUARD,91.85335
Wesley Johnson,SMALL FORWARD,90.5986
Marquese Chriss,POWER FORWARD,90.40455
Brandon Goodwin,POINT GUARD,90.18065
Devin Robinson,SMALL FORWARD,89.5008
Christian Wood,POWER FORWARD,88.96924999999999
Brandon Knight,POINT GUARD,86.95735
Zhaire Smith,SHOOTING GUARD,86.94665
Jared Terrell,SHOOTING GUARD,85.6736
Wade Baldwin,POINT GUARD,84.9348
Jarred Vanderbilt,POWER FORWARD,84.26565
Amile Jefferson,POWER FORWARD,83.1896
Skal Labissière,POWER FORWARD,82.9208
Udonis Haslem,CENTER,81.878
James Nunnally,SMALL FORWARD,80.08465000000001
Naz Mitrou-Long,SHOOTING GUARD,79.25415
Jordan Loyd,POINT GUARD,78.47175
Malcolm Miller,SMALL FORWARD,78.1515
Quincy Acy,POWER FORWARD,77.41395
Tyson Chandler,CENTER,76.78765
Alize Johnson,POWER FORWARD,74.88165000000001
Ron Baker,SHOOTING GUARD,71.75880000000001
Daryl Macon,SHOOTING GUARD,69.5291
Greg Monroe,CENTER,67.7668
PJ Dozier,SHOOTING GUARD,66.5717
Thomas Welsh,CENTER,65.7424
Tyler Zeller,CENTER,65.36699999999999
Alan Williams,POWER FORWARD,56.3605
Davon Reed,SHOOTING GUARD,54.9
Tyler Cavanaugh,POWER FORWARD,50.0657
Demetrius Jackson,POINT GUARD,49.927800000000005
Melvin Frazier,SHOOTING GUARD,49.86150000000001
Džanan Musa,SHOOTING GUARD,48.84575
Jimmer Fredette,SHOOTING GUARD,48.4174
Jawun Evans,POINT GUARD,48.32155
Isaac Humphries,CENTER,48.142849999999996
Ryan Anderson,POWER FORWARD,48.1027
