Name,Position,Score
Talen Horton-Tucker,SHOOTING GUARD,65.62174999999999
Quinndary Weatherspoon,SHOOTING GUARD,65.2868
B.J. Johnson,SMALL FORWARD,64.9356
Dante Exum,SHOOTING GUARD,64.50515
Jerian Grant,SHOOTING GUARD,61.37745000000001
Jordan Bone,POINT GUARD,60.81
Tyler Cook,POWER FORWARD,58.4826
Bruno Caboclo,CENTER,58.1559
Dion Waiters,SHOOTING GUARD,57.2815
Troy Daniels,SHOOTING GUARD,57.1532
Nigel Williams-Goss,POINT GUARD,57.15075
Justin Robinson,POINT GUARD,56.8471
Tacko Fall,CENTER,55.882549999999995
Wenyen Gabriel,POWER FORWARD,54.6422
Vic Law,POWER FORWARD,52.31815
Charlie Brown,SHOOTING GUARD,51.143600000000006
Ignas Brazdeikis,SMALL FORWARD,51.04755
Naz Mitrou-Long,SHOOTING GUARD,49.000600000000006
Jeremy Pargo,POINT GUARD,48.70285
Anthony Tolliver,POWER FORWARD,47.512600000000006
Luka Šamanić,POWER FORWARD,47.3125
Antonius Cleveland,SHOOTING GUARD,47.227
Moses Brown,CENTER,46.71035
Khyri Thomas,SHOOTING GUARD,45.92765
Dewan Hernandez,CENTER,45.821600000000004
Justin Wright-Foreman,POINT GUARD,44.026849999999996
Josh Magette,POINT GUARD,43.073899999999995
Joakim Noah,CENTER,42.760400000000004
Udonis Haslem,CENTER,42.6285
Noah Vonleh,CENTER,42.1869
Chandler Parsons,POWER FORWARD,41.15945
J.R. Smith,SHOOTING GUARD,38.1336
Jarred Vanderbilt,POWER FORWARD,36.1907
Jordan McRae,SHOOTING GUARD,34.089
Brian Bowen,SMALL FORWARD,32.995000000000005
Jarrod Uthoff,POWER FORWARD,32.774100000000004
Zylan Cheatham,POWER FORWARD,32.11335
Sindarius Thornwell,SMALL FORWARD,30.88635
Justin Patton,CENTER,30.8375
Donta Hall,POWER FORWARD,30.687600000000003
Zhaire Smith,SMALL FORWARD,29.76065
